dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.0,22,0.00017326108870967743,-211.10021858810708,-207.43326670006155,False
0.001,18,0.00014175907258064517,-208.1662495743653,-206.34617927741448,False
0.002,18,0.00014175907258064517,-210.0473774967919,-206.8994005088179,False
0.003,20,0.00015751008064516129,-208.0585239566885,-207.04522872702194,False
0.004,8,6.300403225806451e-05,-212.07632417916375,-207.14436136450223,False
0.005,19,0.00014963457661290323,-212.72230159953753,-211.2998847153986,False
0.006,17,0.00013388356854838709,-213.66157997470765,-208.51286208079836,False
0.007,14,0.0001102570564516129,-213.10446896305058,-206.9157524407879,False
0.008,21,0.00016538558467741934,-211.3567707065784,-206.48678985806836,False
0.009000000000000001,12,9.450604838709677e-05,-211.2051875301059,-206.78558456407373,False
0.01,16,0.00012600806451612903,-211.84672681921757,-207.64280119596611,False
0.011,22,0.00017326108870967743,-208.20376032840286,-205.81349217123267,False
0.012,12,9.450604838709677e-05,-212.32118544786803,-208.94018705886475,False
0.013000000000000001,22,0.00017326108870967743,-210.32038613801774,-207.57620530644473,False
0.014,16,0.00012600806451612903,-213.60222347127151,-207.18560634146058,False
0.015,21,0.00016538558467741934,-209.2790532470187,-207.8107662157029,False
0.016,22,0.00017326108870967743,-208.26318257651164,-205.725939093659,False
0.017,16,0.00012600806451612903,-211.73622221451953,-207.80790477234154,False
0.018000000000000002,22,0.00017326108870967743,-209.31307730309769,-205.73862331546022,False
0.019,17,0.00013388356854838709,-210.5743020718184,-207.88203941705,False
0.02,22,0.00017326108870967743,-211.12133053197465,-205.22315479862232,False
0.021,22,0.00017326108870967743,-208.00652244318198,-205.33048408181858,False
0.022,20,0.00015751008064516129,-209.51471232483314,-206.30358725464305,False
0.023,22,0.00017326108870967743,-210.77081179647465,-206.12985974816806,False
0.024,22,0.00017326108870967743,-208.32076453542302,-209.43110083802597,False
0.025,22,0.00017326108870967743,-210.2827136362366,-205.2787556134281,False
0.026000000000000002,11,8.663054435483871e-05,-209.38314327374025,-209.2941364512869,False
0.027,22,0.00017326108870967743,-214.23383418786972,-209.3895727650771,False
0.028,15,0.00011813256048387097,-212.91696677525073,-207.61383006674924,False
0.029,12,9.450604838709677e-05,-211.99522791736808,-208.9642931469246,False
0.03,22,0.00017326108870967743,-211.4035145185169,-207.1846660192079,False
0.031,22,0.00017326108870967743,-210.60419241243295,-205.92385145898942,False
0.032,19,0.00014963457661290323,-212.66273230070328,-208.02985655712257,False
0.033,22,0.00017326108870967743,-210.13048344718922,-206.20279862692396,False
0.034,22,0.00017326108870967743,-207.45579803670267,-201.67876078673768,False
0.035,20,0.00015751008064516129,-207.04466450045032,-208.9014880208393,False
0.036000000000000004,19,0.00014963457661290323,-210.4863408399373,-206.27043513051674,False
0.037,22,0.00017326108870967743,-206.87342282115478,-205.087158868375,False
0.038,21,0.00016538558467741934,-212.05609337397232,-206.85616907169157,False
0.039,15,0.00011813256048387097,-214.25723280552066,-209.48271187884131,False
0.04,21,0.00016538558467741934,-212.80014827448267,-207.7307744367093,False
0.041,22,0.00017326108870967743,-212.99711311232983,-208.5631946469982,False
0.042,21,0.00016538558467741934,-210.4078078961712,-207.24381898649656,False
0.043000000000000003,18,0.00014175907258064517,-210.25090900096592,-206.77507738958263,False
0.044,21,0.00016538558467741934,-210.8914846212191,-205.47484983465574,False
0.045,15,0.00011813256048387097,-208.6969630963548,-206.50608521184319,False
0.046,19,0.00014963457661290323,-211.005668572048,-207.53778281792188,False
0.047,20,0.00015751008064516129,-213.55223287790193,-207.58295480288393,False
0.048,12,9.450604838709677e-05,-213.19485372261525,-207.59491558971004,False
0.049,16,0.00012600806451612903,-211.51502018873197,-208.2539057852276,False
0.05,13,0.00010238155241935484,-209.96701483971975,-205.2443246810646,False
