dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.0,11,8.663054435483871e-05,-209.0929996273863,-208.90379431661563,False
0.001,1,7.875504032258064e-06,-72.06353820348563,-191.88704454702633,False
0.002,1,7.875504032258064e-06,-66.04293831518949,-186.1167171688806,False
0.003,1,7.875504032258064e-06,-62.52111312285456,-182.7595918058722,False
0.004,1,7.875504032258064e-06,-60.02233837337563,-180.34374474819828,False
0.005,1,7.875504032258064e-06,-58.084138140212985,-178.33677200593203,False
0.006,1,7.875504032258064e-06,-56.50051319701008,-176.79666564923136,False
0.007,1,7.875504032258064e-06,-55.16157741397212,-175.4524370935281,False
0.008,1,7.875504032258064e-06,-54.00173847950818,-174.2815378373062,False
0.009000000000000001,1,7.875504032258064e-06,-52.97868803321542,-173.27963244077438,False
0.01,1,7.875504032258064e-06,-52.06353822932512,-172.37488275755996,False
0.011,1,7.875504032258064e-06,-51.23568452657817,-171.53178606387345,False
0.012,1,7.875504032258064e-06,-50.4799132994918,-170.79988208691734,False
0.013000000000000001,1,7.875504032258064e-06,-49.78467117394189,-170.08991613480063,False
0.014,1,7.875504032258064e-06,-49.140977506325854,-169.4428246199841,False
0.015,1,7.875504032258064e-06,-48.54171303403457,-168.8446618652799,False
0.016,1,7.875504032258064e-06,-47.98113856701262,-168.2826823449676,False
0.017,1,7.875504032258064e-06,-47.43237360254264,-167.7359594201172,False
0.018000000000000002,1,7.875504032258064e-06,-46.93713300746125,-167.24028597398797,False
0.019,1,7.875504032258064e-06,-46.46861272859165,-166.77018045304737,False
0.02,1,7.875504032258064e-06,-46.02407643243831,-166.320096221654,False
0.021,1,7.875504032258064e-06,-45.60118770513185,-165.89626305272805,False
0.022,1,7.875504032258064e-06,-45.19793575461464,-165.5070006836331,False
0.023,1,7.875504032258064e-06,-44.81257754795089,-165.1291150747391,False
0.024,1,7.875504032258064e-06,-44.44359231306861,-164.74843413553543,False
0.025,1,7.875504032258064e-06,-44.08964527500246,-164.38388911599458,False
0.026000000000000002,1,7.875504032258064e-06,-43.74955849304907,-164.0535713892221,False
0.027,1,7.875504032258064e-06,-43.42228724500033,-163.73060210583935,False
0.028,1,7.875504032258064e-06,-43.10690065193698,-163.41317420812294,False
0.029,1,7.875504032258064e-06,-42.802565693602304,-163.10231972181293,False
0.03,1,7.875504032258064e-06,-42.50853399180058,-162.8088640218883,False
0.031,1,7.875504032258064e-06,-42.22413071049483,-162.53293371540747,False
0.032,1,7.875504032258064e-06,-41.948745184074724,-162.2502083441297,False
0.033,1,7.875504032258064e-06,-41.681823097222534,-161.98383932798447,False
0.034,1,7.875504032258064e-06,-41.41177369111156,-161.71972998604215,False
0.035,1,7.875504032258064e-06,-41.16062424594482,-161.46828870073077,False
0.036000000000000004,1,7.875504032258064e-06,-40.91653309528931,-161.22202495932999,False
0.037,1,7.875504032258064e-06,-40.67911431876938,-160.98233246643306,False
0.038,1,7.875504032258064e-06,-40.44801281921485,-160.7579821767308,False
0.039,1,7.875504032258064e-06,-40.22290110637155,-160.52867055632947,False
0.04,1,7.875504032258064e-06,-40.0034765170638,-160.31275914733027,False
0.041,1,7.875504032258064e-06,-39.78945877166552,-160.09382368828068,False
0.042,1,7.875504032258064e-06,-39.58058779689978,-159.8894120858552,False
0.043000000000000003,1,7.875504032258064e-06,-39.37662185266617,-159.68268619251614,False
0.044,1,7.875504032258064e-06,-39.17733584247424,-159.4801301233937,False
0.045,1,7.875504032258064e-06,-38.982519816114575,-159.2885999617427,False
0.046,1,7.875504032258064e-06,-38.79197763879225,-159.09320286769824,False
0.047,1,7.875504032258064e-06,-38.605525810955584,-158.91171376484692,False
0.048,1,7.875504032258064e-06,-38.422992402561384,-158.7234451922521,False
0.049,1,7.875504032258064e-06,-38.2442161053505,-158.5497386380702,False
0.05,1,7.875504032258064e-06,-38.061508797094255,-158.36490458113008,False
