dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.0,16,0.00012600806451612903,-68.89471179803695,-61.83191190320623,False
0.001,1,7.875504032258064e-06,-67.66073377758687,-60.4577373457729,False
0.002,1,7.875504032258064e-06,-63.593834871998816,-60.45781158386931,False
0.003,1,7.875504032258064e-06,-60.81862947690752,-60.45790654209288,False
0.004,1,7.875504032258064e-06,-58.716498278271345,-60.45793495270881,False
0.005,1,7.875504032258064e-06,-57.02235692262928,-60.45791474026737,False
0.006,1,7.875504032258064e-06,-55.60588575307535,-60.45773387571087,False
0.007,1,7.875504032258064e-06,-54.38699906643639,-60.45768257191437,False
0.008,1,7.875504032258064e-06,-53.317901638741304,-60.45770392979137,False
0.009000000000000001,1,7.875504032258064e-06,-52.366851185607366,-60.45736888629206,False
0.01,1,7.875504032258064e-06,-51.50878956490422,-60.4577890381412,False
0.011,1,7.875504032258064e-06,-50.728632052737474,-60.45772042900822,False
0.012,1,7.875504032258064e-06,-50.012204654431116,-60.457561406902315,False
0.013000000000000001,1,7.875504032258064e-06,-49.35091404772085,-60.45757876022269,False
0.014,1,7.875504032258064e-06,-48.735810841444625,-60.45788322128794,False
0.015,1,7.875504032258064e-06,-48.161440542355635,-60.45795335941474,False
0.016,1,7.875504032258064e-06,-47.62315605891356,-60.45777783464787,False
0.017,1,7.875504032258064e-06,-47.11587574289004,-60.457773430826705,False
0.018000000000000002,1,7.875504032258064e-06,-46.63698923555229,-60.45773273804848,False
0.019,1,7.875504032258064e-06,-46.18273416510122,-60.45779146279415,False
0.02,1,7.875504032258064e-06,-45.75102225568436,-60.457908685938435,False
0.021,1,7.875504032258064e-06,-45.34010672554629,-60.4578748870512,False
0.022,1,7.875504032258064e-06,-44.947453684787874,-60.45783850503586,False
0.023,1,7.875504032258064e-06,-44.572102845992646,-60.457726852718075,False
0.024,1,7.875504032258064e-06,-44.21195365700429,-60.457609707991715,False
0.025,1,7.875504032258064e-06,-43.86645423845117,-60.45772102684662,False
0.026000000000000002,1,7.875504032258064e-06,-43.53386309999891,-60.4575586167935,False
0.027,1,7.875504032258064e-06,-43.213510608441624,-60.45777216918588,False
0.028,1,7.875504032258064e-06,-42.904864744688176,-60.457544901511504,False
0.029,1,7.875504032258064e-06,-42.606565932716684,-60.457564959115956,False
0.03,1,7.875504032258064e-06,-42.31840510223891,-60.45773715234331,False
0.031,1,7.875504032258064e-06,-42.03924765352245,-60.457988400759035,False
0.032,1,7.875504032258064e-06,-41.76904138138681,-60.4579289664036,False
0.033,1,7.875504032258064e-06,-41.506733964651154,-60.457691102924215,False
0.034,1,7.875504032258064e-06,-41.25215274550237,-60.457754944378564,False
0.035,1,7.875504032258064e-06,-41.005011398458734,-60.457790062663435,False
0.036000000000000004,1,7.875504032258064e-06,-40.764503666904645,-60.45789857958661,False
0.037,1,7.875504032258064e-06,-40.53068959717293,-60.457949631238755,False
0.038,1,7.875504032258064e-06,-40.302770235256,-60.45787193103254,False
0.039,1,7.875504032258064e-06,-40.08092006827083,-60.457854626737195,False
0.04,1,7.875504032258064e-06,-39.864385569409066,-60.45769346364983,False
0.041,1,7.875504032258064e-06,-39.65310050554418,-60.45756691530894,False
0.042,1,7.875504032258064e-06,-39.44701866502771,-60.457472559968,False
0.043000000000000003,1,7.875504032258064e-06,-39.245517612732044,-60.457798010440456,False
0.044,1,7.875504032258064e-06,-39.048778866395686,-60.457752888590186,False
0.045,1,7.875504032258064e-06,-38.8562273955318,-60.45751575624111,False
0.046,1,7.875504032258064e-06,-38.66802988577271,-60.45758183833143,False
