out_idx,time_ns,dac_left,dac_right
0,30000812000,-1037330939,-991751080
1,30001405000,-1036281409,-994019559
2,30001997000,-1035236805,-996271526
3,30002590000,-1034156745,-998472397
4,30003182000,-1033058719,-1000669135
5,30003775000,-1031960676,-1002834958
6,30004368000,-1030829951,-1004951479
7,30004960000,-1029707672,-1007028295
8,30005553000,-1028602301,-1009139150
9,30006146000,-1027439395,-1011153238
10,30006738000,-1026260411,-1013137128
11,30007331000,-1025085653,-1015133456
12,30007924000,-1023869255,-1017071573
13,30008516000,-1022669723,-1018989960
14,30009109000,-1021443393,-1020827744
15,30009702000,-1020227388,-1022693333
16,30010294000,-1018981045,-1024512389
17,30010887000,-1017691873,-1026289843
18,30011479000,-1016396140,-1028021803
19,30012072000,-1015122266,-1029737475
20,30012665000,-1013811896,-1031432769
21,30013257000,-1012482221,-1033062429
22,30013850000,-1011142056,-1034691329
23,30014443000,-1009816904,-1036296180
24,30015035000,-1008414512,-1037835828
25,30015628000,-1007029920,-1039334984
26,30016221000,-1005654379,-1040853528
27,30016813000,-1004216521,-1042324391
28,30017406000,-1002824925,-1043732016
29,30017998000,-1001355393,-1045106639
30,30018591000,-999956197,-1046474022
31,30019184000,-998498670,-1047821612
32,30019776000,-996991831,-1049119286
33,30020369000,-995522276,-1050382217
34,30020962000,-994012290,-1051586358
35,30021554000,-992515518,-1052800323
36,30022147000,-990942679,-1053948071
37,30022740000,-989402333,-1055078999
38,30023332000,-987837213,-1056165080
39,30023925000,-986253964,-1057220985
40,30024518000,-984666842,-1058245529
41,30025110000,-983086996,-1059273815
42,30025703000,-981489373,-1060219701
43,30026295000,-979850669,-1061161654
44,30026888000,-978193267,-1062072368
45,30027481000,-976525479,-1062908495
46,30028073000,-974858574,-1063746003
47,30028666000,-973190288,-1064558908
48,30029259000,-971499689,-1065331072
49,30029851000,-969793062,-1066068931
50,30030444000,-968085474,-1066751580
51,30031037000,-966326912,-1067461256
52,30031629000,-964568734,-1068055000
53,30032222000,-962801461,-1068673142
54,30032814000,-961036990,-1069227489
55,30033407000,-959264476,-1069762429
56,30034000000,-957479134,-1070284545
57,30034592000,-955630773,-1070719924
58,30035185000,-953812498,-1071169881
59,30035778000,-951976078,-1071594710
60,30036370000,-950105095,-1071947499
61,30036963000,-948210783,-1072247839
62,30037556000,-946373015,-1072600384
63,30038148000,-944436171,-1072835694
64,30038741000,-942569115,-1073079550
65,30039334000,-940645270,-1073247744
66,30039926000,-938698311,-1073453685
67,30040519000,-936752950,-1073539808
68,30041111000,-934806952,-1073669451
69,30041704000,-932857098,-1073756892
70,30042297000,-930822615,-1073780140
71,30042889000,-928826604,-1073751806
72,30043482000,-926817967,-1073731685
73,30044075000,-924791031,-1073645341
74,30044667000,-922773086,-1073573951
75,30045260000,-920698637,-1073418724
76,30045853000,-918673882,-1073240134
77,30046445000,-916562289,-1073051129
78,30047038000,-914483314,-1072827219
79,30047630000,-912373995,-1072536759
80,30048223000,-910278674,-1072260658
81,30048816000,-908152931,-1071937832
82,30049408000,-906012212,-1071549432
83,30050001000,-903843875,-1071147774
84,30050594000,-901671470,-1070680526
85,30051186000,-899501981,-1070235784
86,30051779000,-897336746,-1069755728
87,30052372000,-895129296,-1069210514
88,30052964000,-892913228,-1068638117
89,30053557000,-890676249,-1068050092
90,30054150000,-888457318,-1067396051
91,30054742000,-886195023,-1066739671
