out_idx,time_ns,dac_left,dac_right
0,30000812000,-235019944,-348952668
1,30001405000,-231134365,-343290503
2,30001997000,-227206504,-337587497
3,30002590000,-223299205,-331919875
4,30003182000,-219357296,-326162009
5,30003775000,-215470696,-320472257
6,30004368000,-211546285,-314745008
7,30004960000,-207620333,-308992384
8,30005553000,-203714378,-303266930
9,30006146000,-199792595,-297490932
10,30006738000,-195877559,-291768435
11,30007331000,-191909275,-285981901
12,30007924000,-187971657,-280174423
13,30008516000,-184057284,-274403277
14,30009109000,-180142440,-268606527
15,30009702000,-176184506,-262808392
16,30010294000,-172246996,-256952422
17,30010887000,-168308206,-251162439
18,30011479000,-164340058,-245337980
19,30012072000,-160373868,-239442647
20,30012665000,-156427274,-233624121
21,30013257000,-152490386,-227757674
22,30013850000,-148545244,-221929442
23,30014443000,-144563675,-216039456
24,30015035000,-140609925,-210162425
25,30015628000,-136685766,-204273657
26,30016221000,-132695227,-198421805
27,30016813000,-128719643,-192493732
28,30017406000,-124742781,-186592735
29,30017998000,-120791341,-180710688
30,30018591000,-116781206,-174762618
31,30019184000,-112822075,-168858692
32,30019776000,-108875290,-162949135
33,30020369000,-104876599,-157012730
34,30020962000,-100912302,-151100772
35,30021554000,-96918949,-145163698
36,30022147000,-92959585,-139205350
37,30022740000,-88960853,-133251355
38,30023332000,-84962877,-127298335
39,30023925000,-80997330,-121344517
40,30024518000,-76989856,-115371977
41,30025110000,-73038503,-109458259
42,30025703000,-69043108,-103479099
43,30026295000,-65060922,-97554537
44,30026888000,-61060954,-91521161
45,30027481000,-57063462,-85535935
46,30028073000,-53068491,-79593599
47,30028666000,-49094172,-73616781
48,30029259000,-45084755,-67640473
49,30029851000,-41086237,-61608614
50,30030444000,-37144994,-55668882
51,30031037000,-33116936,-49679987
52,30031629000,-29118728,-43685284
53,30032222000,-25157337,-37721824
54,30032814000,-21127921,-31699456
55,30033407000,-17125638,-25704910
56,30034000000,-13167959,-19701742
57,30034592000,-9152615,-13732666
58,30035185000,-5175133,-7733205
59,30035778000,-1125607,-1692844
60,30036370000,2829638,4291609
61,30036963000,6840096,10271098
62,30037556000,10825587,16256753
63,30038148000,14844902,22272619
64,30038741000,18851623,28254603
65,30039334000,22847089,34243250
66,30039926000,26807327,40220911
67,30040519000,30808797,46203186
68,30041111000,34802437,52200123
69,30041704000,38782476,58183632
70,30042297000,42808350,64173695
71,30042889000,46777683,70170445
72,30043482000,50779085,76143655
73,30044075000,54761627,82096829
74,30044667000,58777872,88079182
75,30045260000,62769794,94079609
76,30045853000,66736148,100020770
77,30046445000,70745204,106014040
78,30047038000,74702354,111945810
79,30047630000,78696747,117930775
80,30048223000,82686371,123905819
81,30048816000,86661907,129822109
82,30049408000,90642573,135775153
83,30050001000,94621021,141717476
84,30050594000,98627006,147660395
85,30051186000,102598529,153577600
86,30051779000,106534386,159513117
87,30052372000,110564949,165450270
88,30052964000,114509713,171397598
89,30053557000,118466294,177277669
90,30054150000,122472067,183199554
91,30054742000,126429036,189102944
92,30055335000,130404486,195021200
93,30055927000,134366922,200893820
94,30056520000,138325940,206768480
95,30057113000,142293231,212677610
96,30057705000,146261978,218540141
97,30058298000,150212391,224416682
98,30058891000,154173865,230270900
99,30059483000,158126251,236140827
100,30060076000,162087231,241947181
101,30060669000,166038220,247802639
102,30061261000,169956074,253645717
103,30061854000,173887402,259442360
104,30062446000,177840654,265244762
105,30063039000,181832267,271068817
106,30063632000,185739066,276862218
107,30064224000,189628825,282650737
108,30064817000,193590870,288412312
109,30065410000,197546208,294204575
110,30066002000,201455121,299964573
111,30066595000,205359400,305688273
112,30067188000,209304526,311452027
113,30067780000,213241971,317165785
114,30068373000,217138588,322890143
115,30068966000,221059603,328630822
116,30069558000,224947054,334285863
117,30070151000,228850877,339970637
118,30070743000,232760185,345686832
119,30071336000,236674264,351359770
120,30071929000,240552518,356996988
121,30072521000,244447804,362665169
122,30073114000,248359875,368304889
123,30073707000,252241924,373918691
124,30074299000,256114788,379524383
125,30074892000,259993730,385139135
126,30075485000,263870802,390747969
127,30076077000,267704207,396299479
128,30076670000,271594443,401867462
129,30077262000,275470141,407425834
130,30077855000,279347669,412966105
131,30078448000,283180217,418485109
132,30079040000,287031231,424008148
133,30079633000,290895694,429506895
134,30080226000,294743419,435010996
135,30080818000,298601337,440484586
136,30081411000,302410900,445916265
137,30082004000,306218482,451378040
138,30082596000,310065970,456817616
139,30083189000,313882244,462203215
140,30083782000,317712952,467606834
141,30084374000,321532330,473015529
142,30084967000,325326324,478369135
143,30085559000,329137871,483756673
144,30086152000,332970836,489082315
145,30086745000,336744160,494419976
146,30087337000,340526537,499735485
147,30087930000,344314455,505041727
148,30088523000,348121233,510291908
149,30089115000,351886750,515585126
150,30089708000,355656848,520829498
151,30090301000,359416872,526090894
152,30090893000,363175433,531265402
153,30091486000,366942462,536463197
154,30092078000,370715354,541677992
155,30092671000,374442775,546835651
156,30093264000,378177456,551961629
157,30093856000,381938222,557126915
158,30094449000,385668057,562233374
159,30095042000,389370392,567324517
160,30095634000,393111661,572428443
161,30096227000,396837263,577499107
162,30096820000,400543404,582523802
163,30097412000,404263376,587555482
164,30098005000,407924993,592549846
165,30098598000,411658767,597573704
166,30099190000,415306822,602519131
167,30099783000,418991419,607468837
168,30100375000,422675409,612408945
169,30100968000,426366147,617306373
170,30101561000,430026696,622217914
171,30102153000,433665661,627076551
172,30102746000,437341693,631953998
173,30103339000,440978261,636788698
174,30103931000,444604852,641585689
175,30104524000,448270856,646408025
176,30105117000,451858833,651154885
177,30105709000,455477328,655929755
178,30106302000,459107804,660668433
179,30106894000,462748926,665387379
180,30107487000,466363642,670079852
181,30108080000,469917044,674739840
182,30108672000,473501976,679382654
183,30109265000,477094553,684025295
184,30109858000,480696962,688672419
185,30110450000,484238101,693227421
186,30111043000,487824015,697801942
187,30111636000,491360299,702324730
188,30112228000,494912370,706865846
189,30112821000,498471245,711368403
190,30113414000,501989259,715844011
191,30114006000,505549639,720284139
192,30114599000,509041035,724737213
193,30115191000,512556710,729143031
194,30115784000,516070648,733554402
195,30116377000,519571619,737918472
196,30116969000,523090382,742289226
197,30117562000,526550820,746576713
198,30118155000,530040206,750896021
199,30118747000,533512363,755175645
200,30119340000,536994094,759401933
