out_idx,time_ns,data_out,phase_acc,sample_in_now,in_count,wptr_now
0,1449204000,x,224522262,485427483,64,64
1,1449797000,x,336783393,485427483,64,64
2,1450389000,x,449044524,485427483,64,64
3,1450982000,x,561305655,485427483,64,64
4,1451574000,x,673566786,485427483,64,64
5,1452167000,x,785827917,485427483,64,64
6,1452760000,x,898089048,485427483,64,64
7,1453352000,x,1010350179,485427483,64,64
8,1453945000,x,1122611310,485427483,64,64
9,1454538000,x,1234872441,485427483,64,64
10,1455130000,x,1347133572,485427483,64,64
11,1455723000,x,1459394703,485427483,64,64
12,1456316000,x,1571655834,485427483,64,64
13,1456908000,x,1683916965,485427483,64,64
14,1457501000,x,1796178096,485427483,64,64
15,1458093000,x,1908439227,485427483,64,64
16,1458686000,x,2020700358,485427483,64,64
17,1459279000,x,2132961489,485427483,64,64
18,1459871000,x,2245222620,485427483,64,64
19,1460464000,x,2357483751,485427483,64,64
20,1461057000,x,2469744882,485427483,64,64
21,1461649000,x,2582006013,485427483,64,64
22,1462242000,x,2694267144,485427483,64,64
23,1462835000,x,2806528275,485427483,64,64
24,1463427000,x,2918789406,485427483,64,64
25,1464020000,x,3031050537,485427483,64,64
26,1464613000,x,3143311668,485427483,64,64
27,1465205000,x,3255572799,485427483,64,64
28,1465798000,x,3367833930,485427483,64,64
29,1466390000,x,3480095061,485427483,64,64
30,1466983000,x,3592356192,485427483,64,64
31,1467576000,x,3704617323,485427483,64,64
32,1468168000,x,3816878454,485427483,64,64
33,1468761000,x,3929139585,485427483,64,64
34,1469354000,x,4041400716,485427483,64,64
35,1469946000,x,4153661847,485427483,64,64
36,1470539000,x,4265922978,485427483,64,64
37,1471132000,x,83216813,344841866,65,65
38,1471724000,x,195477944,344841866,65,65
39,1472317000,x,307739075,344841866,65,65
40,1472909000,x,420000206,344841866,65,65
41,1473502000,x,532261337,344841866,65,65
42,1474095000,x,644522468,344841866,65,65
43,1474687000,x,756783599,344841866,65,65
44,1475280000,x,869044730,344841866,65,65
45,1475873000,x,981305861,344841866,65,65
46,1476465000,x,1093566992,344841866,65,65
47,1477058000,x,1205828123,344841866,65,65
